Comp,Eg (eV)
Ag2.7Ba6Sn4.3S16,1.48
Ag2GeSe3,0.905
Ag2GeTe3,0.16
Ag2O,1.532
Ag2S,1.0325
Ag2SnS3,1.3533333333333335
Ag2SnSe3,0.7833333333333333
Ag3AsS3,2.07375
Ag3AsSe3,2.0900000000000003
Ag3SbS3,2.0483333333333333
AgAlTe2,1.85
AgAsS2,2.2
AgFeTe2,0.3675
AgGaS2,2.656
AgGaSe2,1.6733333333333331
AgI,2.9316666666666666
AgInS2,1.9266666666666665
AgInSe2,1.1828571428571428
AgInTe2,0.9450000000000001
AgN3,3.67
AgS,1.1414285714285715
AgSbS2,1.9233333333333331
AgSbSe2,0.692
AgSbTe2,0.4766666666666666
AgTe,0.79
Al2Se3,3.125
Al2Te3,2.35
AlB12,2.14
AlN,6.1
AlP,2.7972727272727274
AlSb,1.6526666666666665
As2S3,2.4166666666666665
As2Se3,1.7857142857142858
As2Te3,1.67375
AsI3,2.4333333333333336
B2O3,4.895
BAs,1.455
BaB2O4,6.4433333333333325
BaF2,9.1425
BaGa2GeS6,3.245
BaGa2GeSe6,2.515
BaGa2SnSe6,1.775
BaS,3.8899999999999997
BaSe,3.626666666666667
BaTiO3,3.058
Bi12SiO20,3.225
Bi2O3,2.855
Bi2S3,1.3199999999999998
Bi2Se3,0.375
Bi2Te2.1Se0.9,0.295
Bi2Te2.4Se0.6,0.26
Bi2Te2.7Se0.3,0.20500000000000002
Bi2Te2.97Se0.03,0.155
BiI3,1.9314285714285713
BiOI,2.005
BiSBr,1.9
BiSCl,1.91
BiSI,1.5933333333333335
BiSeBr,1.6666666666666667
BiSeI,1.3
Ca3B2N4,4.0
CaF2,9.96
CaO,7.004
CaS,5.593333333333334
CaSe,4.9350000000000005
CaTe,4.1850000000000005
Cd3As2,0.27
Cd3P2,0.556
Cd4As2Br3,1.8633333333333333
Cd4As2I3,2.0949999999999998
Cd4P2Cl3,2.205
CdAs2,1.0666666666666667
CdCl2,5.75
CdGa2S4,3.42
CdGa2Se4,2.376666666666667
CdGeAs2,0.6588888888888889
CdGeP2,1.7266666666666666
CdIn2S4,2.3600000000000003
CdIn2Se4,1.6079999999999999
CdIn2Te4,1.182
CdP2,2.1025
CdP4,1.0
CdS,2.535185185185185
CdSb,0.4982352941176471
CdSe,1.8592000000000002
CdSiAs2,1.524
CdSiP2,2.151666666666667
CdSnAs2,0.3633333333333333
CdSnP2,1.3074999999999999
CdTe,1.55
CdTeO3,3.73
Ce2Te3,1.31
CoSb2,0.185
CoSb3,0.495
CoSbS,0.305
Cr2S3,1.0
CrSb2,0.15000000000000002
Cs3Bi,0.625
Cs3Bi2I9,1.85
Cs4Cu3Bi9S17,0.75
CsAsSe2,1.9300000000000002
CsBiS2,1.4166666666666667
CsBr,6.99
CsCaBO3,4.065
CsCl,7.949999999999999
CsErZnSe3,2.5949999999999998
CsI,6.3566666666666665
CsInGeS4,2.25
CsLaHgSe3,2.485
CsLuCoS3,1.3399999999999999
CsSb,0.7050000000000001
CsSmCdSe3,2.46
CsSmZnSe3,2.5300000000000002
CsYCdSe3,2.56
CsYZnSe3,2.35
CsYbMnSe3,1.5950000000000002
CsYbZnSe3,2.035
Cu0.05Ga1.95S2.95,2.67
Cu0.1Ga1.9S2.9,2.625
Cu0.2Ga1.8S2.8,2.675
Cu0.35Ga1.65S2.65,2.55
Cu0.3Ga1.7S2.7,2.575
Cu0.4Ga1.6S2.6,2.475
Cu0.5Ga1.5S2.5,2.4450000000000003
Cu2CdSnS4,1.385
Cu2Ga4Te7,1.13
Cu2GeSe3,0.9750000000000001
Cu2O,2.6133333333333333
Cu2Se,1.284
Cu2SnSe3,0.7649999999999999
Cu2Ta4O11,2.6500000000000004
Cu2Te,1.0725
Cu2ZnSiS4,3.15
Cu3AsS4,1.3599999999999999
Cu3AsSe4,0.765
Cu3SbS4,0.85
Cu3SbSe4,0.355
CuAlSe2,2.6
CuBr,2.9987500000000002
CuCl,3.2564285714285717
CuFeS2,0.48666666666666664
CuFeSe2,0.155
CuGa3Se5,1.8166666666666667
CuGaS2,2.442857142857143
CuGaSe2,1.6133333333333333
CuGaTe2,1.0899999999999999
CuI,3.028
CuIn3Te5,1.105
CuInS2,1.5366666666666668
CuInSe2,0.9514285714285714
CuInTe2,0.916
CuP2,1.4533333333333331
CuSbS2,1.39
Dy2S3,2.955
DyN,2.35
Er2Mo3O12,1.0
ErN,2.7
EuO,1.12
EuS,1.6633333333333333
EuTe,2.0066666666666664
EuVO4,3.3499999999999996
Fe2Te3,0.47
FeAsS,0.23
FeSi2,0.916
Ga2GeTe3,0.845
Ga2O3,4.470000000000001
Ga2S3,2.83
Ga2Se3,2.07
Ga2Te3,1.4
Ga2Te3O9,4.145
GaAs,1.4828000000000001
GaN,3.440625
GaP,2.76
GaS,2.586153846153846
GaSb,0.7773333333333333
GaSe,2.084230769230769
GaTe,1.6700000000000002
Gd2Mo3O12,4.119999999999999
GeAs,1.3699999999999999
GeAs2,1.0533333333333335
GeO2,5.576666666666667
GeS,1.69
GeS2,3.5700000000000003
GeSe,1.1833333333333333
GeSe2,2.3825
GeSe2O6,5.289999999999999
H6PtI6O20,2.26
HfS3,2.9166666666666665
Hg0.01Zn0.99Te,2.235
Hg0.06Zn0.94Te,2.075
Hg0.14Zn0.86Te,1.6949999999999998
Hg0.1Zn0.9Te,1.7850000000000001
Hg0.25Zn0.75Te,1.31
Hg0.2Zn0.8Te,1.43
Hg0.77Cd0.23Te,0.16499999999999998
Hg0.7Cd0.3Te,0.31
Hg0.8Cd0.2Se,1.1166666666666667
Hg0.8Zn0.2Te,0.07500000000000001
Hg0.9Cd0.1Se,1.3733333333333333
Hg2Cl2,3.3800000000000003
Hg6.5As4CdCl6,1.955
Hg6As4CdBr6,1.915
HgGa2S4,2.815
HgIn2Te4,1.0933333333333333
HgO,2.3449999999999998
HgSe,0.2416666666666667
HgTe,0.17333333333333334
Ho2Mo3O12,1.375
HoN,1.8566666666666667
In0.5Al0.5P,2.3499999999999996
In2GeTe3,0.69
In2Se,0.7233333333333333
In2Se3,1.2
In4Se3,0.645
In4Te3,0.51
In6S7,0.8466666666666667
In6Se7,0.64
InAs,0.39666666666666667
InN,2.13
InP,1.3685
InP2S4,2.585
InS,2.01375
InSb,0.22210526315789472
InSe,1.2545
IrP2,1.05
IrSe2,0.95
K10Co4Sn4S17,1.5550000000000002
K10Zn4Sn4S17,3.1500000000000004
K2Bi8Se13,0.53
K2CsSb,1.1
K2Hg3Ge2S8,2.67
K2Hg3Sn2S8,2.45
K2ZnSn3S8,2.3333333333333335
K4Nb2S11,2.2433333333333336
K8Zr6Se30,1.8599999999999999
KAsSe2,1.625
KBiS2,0.8933333333333334
KBiSe2,0.66
KCu2SbS3,1.615
KH2PO4,6.975
KH3Se2O6,4.9366666666666665
KI,6.133333333333334
KIO3,3.8575
KSb5S8,1.745
KSbS2,1.6900000000000002
KSbSe2,1.47
KTiPO5,3.67
La2MnNiO6,1.2999999999999998
La2MoO5,0.745
La2Se3,1.7733333333333334
LaCuOS,3.12
Li0.2Na0.8AsSe2,1.645
LiAlB14,1.935
LiAsSe2,1.2366666666666666
LiB3O5,7.843333333333334
LiBiS2,0.16
LiBr,7.725
LiGaS2,3.8433333333333337
LiGaSe2,3.3466666666666662
LiI,5.84
LiIO3,4.1850000000000005
LiInS2,3.573333333333333
LiNbO3,4.066666666666666
LiZnN,1.9449999999999998
Mg2Pb,0.09666666666666668
Mg2Sn,0.27307692307692305
Mg3As2,2.4499999999999997
Mg3Sb2,0.81
MgGeN2,4.300000000000001
MgO,7.745
MgSe,5.743333333333333
Mn11Si19,0.74
Mn15Si26,0.7
MnI2,4.220000000000001
MnTe,1.3
MoO3,3.6625
MoTe2,1.1266666666666667
NH6PO4,6.805
Na2CdGe2S6,2.8899999999999997
Na2Ga2SnS6,2.245
Na2KSb,1.05
Na2TeSe3,1.9100000000000001
Na2ZnGe2S6,3.145
Na3Sb,1.09
NaAsS2,2.2800000000000002
NaAsSe2,1.595
NaBiS2,0.41000000000000003
NaBiSe2,0.31666666666666665
NaBr,7.263333333333333
NaCl,8.5
NaI,6.074
NaNO2,3.06
NaNbSe2O7,3.7249999999999996
NaSbP2S6,2.21
NaSbS2,1.6400000000000001
NaSbSe2,1.3866666666666667
Nd2Se3,1.725
NiP2,0.51
OsAs2,0.91
OsP2,1.165
OsP4,0.5
OsSb2,0.23666666666666666
Pb0.01Sn0.99Te,0.28
Pb0.85Sn0.15Se,0.135
Pb0.85Sn0.15Te,0.1525
Pb0.8Sn0.2Se,0.06666666666666667
Pb0.8Sn0.2Te,0.095
Pb0.92Sn0.08Te,0.14500000000000002
Pb0.94Se0.94Sn0.06Se0.06,0.20500000000000002
Pb0.94Sn0.06Se,0.17666666666666667
Pb0.95Se0.95Sn0.05Se0.05,0.20500000000000002
Pb0.97Se0.97Sn0.03Se0.03,0.25
Pb0.97Sn0.03Te,0.255
Pb0.999Se0.999Sn0.001Se0.001,0.28
Pb0.999Sn0.001Te,0.235
Pb0.99Sn0.01Se,0.2025
Pb0.9Sn0.1Se,0.12333333333333334
PbBiO2Br,2.385
PbBr2,3.31
PbCdP4O12,4.859999999999999
PbCl2,3.953333333333333
PbI2,2.535555555555556
PbN6,3.0
PbO2,1.61
PbS,0.3628571428571429
PbSe,0.24166666666666667
PbSnS3,0.9750000000000001
PbTe,0.27944444444444444
PdPS,1.39
Pr2S3,2.64
Pr2Se3,1.85
Pr2Te3,1.32
PrF3,5.6
PrTe2,1.155
PtAs2,0.6166666666666667
PtP2,0.7
PtS,0.6066666666666667
PtSb2,0.11777777777777779
Rb3Bi2I9,1.995
RbBi3Se5,0.57
RbBiS2,1.2733333333333334
RbBiSe2,0.8466666666666667
RbBr,7.45
RbCl,8.278
RbI,6.185
RbSbS2,2.063333333333333
ReS2,1.1433333333333333
ReSe2,1.0699999999999998
ReSi2,0.15
Ru2Ge3,0.43000000000000005
Ru2Si3,0.57
RuP2,0.9
RuP4,0.51
Sb2O3,3.255
Sb2S3,1.70875
Sb2Se3,1.161111111111111
Sb2Te3,0.2557142857142857
SbI3,2.348
SbSBr,2.1999999999999997
SbSI,1.925
SbSeBr,1.855
SbSeI,1.72
SbTeI,1.2650000000000001
Sc2O3,6.1
Si2Te3,2.0925000000000002
SiAs,1.5
SiSe2,1.7299999999999998
SiTe2,2.015
Sm2S3,2.98
SmTe,0.378
Sn2BiS2I3,1.06
Sn2S,0.8999999999999999
SnBr2,3.45
SnGe,0.6000000000000001
SnS,1.1972727272727273
SnS0.01Se0.99,0.9199999999999999
SnS0.25Se0.75,0.965
SnS0.4Se0.6,1.0
SnS0.8Se0.2,1.05
SnS0.99Se0.01,1.0950000000000002
SnSe,0.9922222222222222
SnTe,0.33
SrO,5.734999999999999
SrS,4.779999999999999
SrTe,3.75
SrTiO3,3.4124999999999996
SrZrS3,0.9
TaGaS2,2.7425
TaGaSe2,2.058333333333333
TaON,2.5999999999999996
Tb2Mo3O12,1.505
TeSe3,1.635
ThO2,3.4
Tl2GeTe3,0.365
Tl2Te3,0.516
Tl2TeI6,1.4849999999999999
Tl3TaS4,2.4400000000000004
Tl3VS4,1.8099999999999998
TlAsS2,2.185
TlAsSe2,1.375
TlBr,2.99125
TlCl,3.419090909090909
TlInS2,2.3175
TlInSe2,1.2063636363636363
TlInTe2,0.6666666666666666
TlPS2,1.65
TlPSe2,0.55
TlS,1.3650000000000002
TlSbS2,1.69
TlSe,0.7638461538461538
V2O5,2.3916666666666666
VO2,0.466
WO3,2.8000000000000003
WSe2,1.465
YNiSb,0.235
YbS,1.1366666666666667
Zn0.01Cd0.99Se,2.45
Zn0.15Cd0.85Se,2.55
Zn0.43Cd0.57Se,2.8499999999999996
Zn0.4Hg0.6Se,0.45999999999999996
Zn0.55S0.55Ga0.45P0.45,2.3499999999999996
Zn0.5Cd0.5Se,2.95
Zn0.5Hg0.5Se,0.675
Zn0.75Cd0.25Se,3.25
Zn0.7S0.7Ga0.3P0.3,2.45
Zn0.85S0.85Ga0.15P0.15,2.65
Zn0.95S0.95Ga0.05P0.05,2.85
Zn0.99Cd0.01Se,3.6500000000000004
Zn2In2S5,2.696
Zn3As2,0.948888888888889
Zn3In2S6,2.925
Zn3P2,1.1749999999999998
Zn3Sb2,0.17666666666666667
Zn4Sb3,1.1
ZnAs2,1.0266666666666666
ZnGeAs2,1.1033333333333333
ZnGeN2,3.05
ZnGeP2,2.16
ZnIn2S4,2.753
ZnIn2Se4,1.955
ZnIn2Te4,1.8733333333333333
ZnO,3.4031818181818183
ZnS,3.7039999999999997
ZnSb,1.0833333333333333
ZnSe,2.774375
ZnSnAs2,0.7033333333333333
ZnSnP2,1.6275
ZnSnSb2,0.35
ZnTe,2.288888888888889
ZrS3,2.2249999999999996
ZrSe3,1.45
